Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",Germany,Men,Parallel Bars,Summer
1896,Athens,Gymnastics,Artistic G.,"ZUTTER, Louis",Switzerland,Men,Pommel Horse,Summer
1896,Athens,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",Greece,Men,Rings,Summer
1896,Athens,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",Greece,Men,Rope Climbing,Summer
1896,Athens,Gymnastics,Artistic G.,"BÖCKER, Konrad",Germany,Men,"Team, Horizontal Bar",Summer
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",Germany,Men,"Team, Horizontal Bar",Summer
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",Germany,Men,"Team, Horizontal Bar",Summer
1896,Athens,Gymnastics,Artistic G.,"HILMAR, Georg",Germany,Men,"Team, Horizontal Bar",Summer
1896,Athens,Gymnastics,Artistic G.,"HOFMANN, Fritz",Germany,Men,"Team, Horizontal Bar",Summer
1896,Athens,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",Germany,Men,"Team, Horizontal Bar",Summer
1896,Athens,Gymnastics,Artistic G.,"NEUKIRCH, Karl",Germany,Men,"Team, Horizontal Bar",Summer
1896,Athens,Gymnastics,Artistic G.,"RÖSTEL, Richard",Germany,Men,"Team, Horizontal Bar",Summer
1896,Athens,Gymnastics,Artistic G.,"SCHUFT, Gustav",Germany,Men,"Team, Horizontal Bar",Summer
1896,Athens,Gymnastics,Artistic G.,"SCHUMANN, Carl",Germany,Men,"Team, Horizontal Bar",Summer
1896,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Germany,Men,"Team, Horizontal Bar",Summer
1896,Athens,Gymnastics,Artistic G.,"BÖCKER, Konrad",Germany,Men,"Team, Parallel Bars",Summer
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",Germany,Men,"Team, Parallel Bars",Summer
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",Germany,Men,"Team, Parallel Bars",Summer
1896,Athens,Gymnastics,Artistic G.,"HILMAR, Georg",Germany,Men,"Team, Parallel Bars",Summer
1896,Athens,Gymnastics,Artistic G.,"HOFMANN, Fritz",Germany,Men,"Team, Parallel Bars",Summer
1896,Athens,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",Germany,Men,"Team, Parallel Bars",Summer
1896,Athens,Gymnastics,Artistic G.,"NEUKIRCH, Karl",Germany,Men,"Team, Parallel Bars",Summer
1896,Athens,Gymnastics,Artistic G.,"RÖSTEL, Richard",Germany,Men,"Team, Parallel Bars",Summer
1896,Athens,Gymnastics,Artistic G.,"SCHUFT, Gustav",Germany,Men,"Team, Parallel Bars",Summer
1896,Athens,Gymnastics,Artistic G.,"SCHUMANN, Carl",Germany,Men,"Team, Parallel Bars",Summer
1896,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Germany,Men,"Team, Parallel Bars",Summer
1896,Athens,Gymnastics,Artistic G.,"SCHUMANN, Carl",Germany,Men,Vault,Summer
1896,Athens,Shooting,Shooting,"PAINE, John",United States,Men,25M Army Pistol,Summer
1896,Athens,Shooting,Shooting,"PHRANGOUDIS, Joannis",Greece,Men,25M Rapid Fire Pistol (60 Shots),Summer
1896,Athens,Shooting,Shooting,"PAINE, Sumner",United States,Men,50M Pistol (60 Shots),Summer
1896,Athens,Shooting,Shooting,"KARASEVDAS, Pantelis",Greece,Men,"Army Rifle, 200M",Summer
1896,Athens,Shooting,Shooting,"ORPHANIDIS, Georgios",Greece,Men,"Army Rifle, 300M",Summer
1896,Athens,Tennis,Tennis,"BOLAND, John",Mixed Team,Men,Doubles,Summer
1896,Athens,Tennis,Tennis,"TRAUN, Friedrich",Mixed Team,Men,Doubles,Summer
1896,Athens,Tennis,Tennis,"BOLAND, John",United Kingdom,Men,Singles,Summer
1896,Athens,Weightlifting,Weightlifting,"ELLIOTT, Launceston",United Kingdom,Men,Heavyweight - One Hand Lift,Summer
1896,Athens,Weightlifting,Weightlifting,"JENSEN, Viggo",Denmark,Men,Heavyweight - Two Hand Lift,Summer
1896,Athens,Wrestling,Wrestling Gre-R,"SCHUMANN, Carl",Germany,Men,Open Event,Summer
1900,Paris,Aquatics,Swimming,"JARVIS, John Arthur",United Kingdom,Men,1500M Freestyle,Summer
1900,Paris,Aquatics,Swimming,"HOPPENBERG, Ernst",Germany,Men,200M Backstroke,Summer
1900,Paris,Aquatics,Swimming,"LANE, Frederick C.V.",Australia,Men,200M Freestyle,Summer
1900,Paris,Aquatics,Swimming,"LANE, Frederick C.V.",Australia,Men,200M Obstacle Event,Summer
1900,Paris,Aquatics,Swimming,"FREY, Julius",Germany,Men,200M Team Swimming,Summer
1900,Paris,Aquatics,Swimming,"HAINLE, Max",Germany,Men,200M Team Swimming,Summer
1900,Paris,Aquatics,Swimming,"HOPPENBERG, Ernst",Germany,Men,200M Team Swimming,Summer
1900,Paris,Aquatics,Swimming,"SCHÖNE, Max",Germany,Men,200M Team Swimming,Summer
1900,Paris,Aquatics,Swimming,"VON PETERSDORFF, Herbert",Germany,Men,200M Team Swimming,Summer
1900,Paris,Aquatics,Swimming,"JARVIS, John Arthur",United Kingdom,Men,4000M Freestyle,Summer
1900,Paris,Aquatics,Swimming,"DE VENDEVILLE, Charles",France,Men,Underwater Swimming,Summer
1900,Paris,Aquatics,Water polo,"COE, Thomas",United Kingdom,Men,Water Polo,Summer
1900,Paris,Aquatics,Water polo,"DERBYSHIRE, John Henry",United Kingdom,Men,Water Polo,Summer
1900,Paris,Aquatics,Water polo,"KEMP, Peter",United Kingdom,Men,Water Polo,Summer
1900,Paris,Aquatics,Water polo,"LISTER, William",United Kingdom,Men,Water Polo,Summer
1900,Paris,Aquatics,Water polo,"ROBERTSON, Arthur",United Kingdom,Men,Water Polo,Summer
1900,Paris,Aquatics,Water polo,"ROBINSON, Eric",United Kingdom,Men,Water Polo,Summer
1900,Paris,Aquatics,Water polo,"WILKINSON, George",United Kingdom,Men,Water Polo,Summer
1900,Paris,Archery,Archery,"VAN INNIS, Hubert",Belgium,Men,"Au Chapelet, 33M",Summer
1900,Paris,Archery,Archery,"MOUGIN, Eugène",France,Men,"Au Chapelet, 50M",Summer
1900,Paris,Archery,Archery,"VAN INNIS, Hubert",Belgium,Men,"Au Cordon Doré, 33M",Summer
1900,Paris,Archery,Archery,"HEROUIN, Henri",France,Men,"Au Cordon Doré, 50M",Summer
1900,Paris,Archery,Archery,"FOULON, Emmanuel",Belgium,Men,Sur La Perche À La Herse,Summer
1900,Paris,Archery,Archery,"GRUMIAUX, Emile",France,Men,Sur La Perche À La Pyramide,Summer
1900,Paris,Athletics,Athletics,"JARVIS, Francis",United States,Men,100M,Summer
1900,Paris,Athletics,Athletics,"KRAENZLEIN, Alvin",United States,Men,110M Hurdles,Summer
1900,Paris,Athletics,Athletics,"BENNETT, Charles",United Kingdom,Men,1500M,Summer
1900,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",United States,Men,200M,Summer
1900,Paris,Athletics,Athletics,"KRAENZLEIN, Alvin",United States,Men,200M Hurdles,Summer
1900,Paris,Athletics,Athletics,"ORTON, George",Canada,Men,3000M Steeplechase,Summer
1900,Paris,Athletics,Athletics,"RIMMER, John",United Kingdom,Men,4000M Steeplechase,Summer
1900,Paris,Athletics,Athletics,"LONG, Maxwell W.Maxey",United States,Men,400M,Summer
1900,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",United States,Men,400M Hurdles,Summer
1900,Paris,Athletics,Athletics,"BENNETT, Charles",Mixed Team,Men,5000M Team,Summer
1900,Paris,Athletics,Athletics,"RIMMER, John",Mixed Team,Men,5000M Team,Summer
1900,Paris,Athletics,Athletics,"ROBINSON, Sidney",Mixed Team,Men,5000M Team,Summer
1900,Paris,Athletics,Athletics,"ROWLEY, Stanley",Mixed Team,Men,5000M Team,Summer
1900,Paris,Athletics,Athletics,"TYSOE, Alfred",Mixed Team,Men,5000M Team,Summer
1900,Paris,Athletics,Athletics,"KRAENZLEIN, Alvin",United States,Men,60M,Summer
1900,Paris,Athletics,Athletics,"TYSOE, Alfred",United Kingdom,Men,800M,Summer
1900,Paris,Athletics,Athletics,"BAUER, Rudolf",Hungary,Men,Discus Throw,Summer
1900,Paris,Athletics,Athletics,"FLANAGAN, John Jesus",United States,Men,Hammer Throw,Summer
1900,Paris,Athletics,Athletics,"BAXTER, Irving",United States,Men,High Jump,Summer
1900,Paris,Athletics,Athletics,"EWRY, Ray",United States,Men,"High Jump, Standing",Summer
1900,Paris,Athletics,Athletics,"KRAENZLEIN, Alvin",United States,Men,Long Jump,Summer
1900,Paris,Athletics,Athletics,"EWRY, Ray",United States,Men,"Long Jump, Standing",Summer
1900,Paris,Athletics,Athletics,"THEATO, Michel",France,Men,Marathon,Summer
1900,Paris,Athletics,Athletics,"BAXTER, Irving",United States,Men,Pole Vault,Summer
1900,Paris,Athletics,Athletics,"SHELDON, Richard",United States,Men,Shot Put,Summer
1900,Paris,Athletics,Athletics,"PRINSTEIN, Meyer",United States,Men,Triple Jump,Summer
1900,Paris,Athletics,Athletics,"EWRY, Ray",United States,Men,"Triple Jump, Standing",Summer
1900,Paris,Basque Pelota,Basque Pelota,"De AMEZOLA y ASPIZUA, José",Spain,Men,Cesta Punta,Summer
1900,Paris,Basque Pelota,Basque Pelota,"VILLOTA BAQUIOLA, Francisco",Spain,Men,Cesta Punta,Summer
1900,Paris,Cricket,Cricket,"BEACHCROFT, Charles",United Kingdom,Men,Cricket,Summer
1900,Paris,Cricket,Cricket,"BIRKETT, Arthur Ernest",United Kingdom,Men,Cricket,Summer
1900,Paris,Cricket,Cricket,"BOWERMAN, Alfred James",United Kingdom,Men,Cricket,Summer
1900,Paris,Cricket,Cricket,"BUCKLEY, George John",United Kingdom,Men,Cricket,Summer
1900,Paris,Cricket,Cricket,"BURCHELL, Francis Romulus",United Kingdom,Men,Cricket,Summer
1900,Paris,Cricket,Cricket,"CHRISTIAN, Frederick William",United Kingdom,Men,Cricket,Summer
1900,Paris,Cricket,Cricket,"CORNER, Harry Richard",United Kingdom,Men,Cricket,Summer
1900,Paris,Cricket,Cricket,"CUMING, Frederick Wlliam",United Kingdom,Men,Cricket,Summer
1900,Paris,Cricket,Cricket,"DONNE, William Stephen",United Kingdom,Men,Cricket,Summer
1900,Paris,Cricket,Cricket,"POWLESLAND, Alfred James",United Kingdom,Men,Cricket,Summer
1900,Paris,Cricket,Cricket,"SYMES, John",United Kingdom,Men,Cricket,Summer
1900,Paris,Cricket,Cricket,"TOLLER, Montagu Henry",United Kingdom,Men,Cricket,Summer
1900,Paris,Croquet,Croquet,AUMOITTE,France,Men,Double,Summer
1900,Paris,Croquet,Croquet,JOHIN,France,Men,Double,Summer
1900,Paris,Croquet,Croquet,AUMOITTE,France,Men,Individual 1 Ball,Summer
1900,Paris,Croquet,Croquet,WAYDELICH,France,Men,Individual 2 Balls,Summer
1900,Paris,Cycling,Cycling Track,"BASTIEN, Louis",France,Men,25 Kilometres,Summer
1900,Paris,Cycling,Cycling Track,"TAILLANDIER, Georges",France,Men,Sprint Indivual,Summer
1900,Paris,Equestrian,Jumping,"GARDERES, Dominique Maximien",France,Men,High Jump,Summer
1900,Paris,Equestrian,Jumping,"TRISSINO, Gian Giorgio",Italy,Men,High Jump,Summer
1900,Paris,Equestrian,Jumping,"HAEGEMAN, Aimé",Belgium,Men,Individual,Summer
1900,Paris,Equestrian,Jumping,"VAN LANGHENDONCK, Constant",Belgium,Men,Long Jump Individual,Summer
1900,Paris,Fencing,Fencing,"FONST, Ramon",Cuba,Men,Épée Individual,Summer
1900,Paris,Fencing,Fencing,"AYAT, Albert",France,Men,"Épée, Amateurs And Masters",Summer
1900,Paris,Fencing,Fencing,"AYAT, Albert",France,Men,"Épée, Masters",Summer
1900,Paris,Fencing,Fencing,"COSTE, Emile",France,Men,Foil Individual,Summer
1900,Paris,Fencing,Fencing,"MERIGNAC, Lucien",France,Men,"Foil, Masters",Summer
1900,Paris,Fencing,Fencing,"DE LA FALAISE, Georges",France,Men,Sabre Individual,Summer
1900,Paris,Fencing,Fencing,"CONTE, Antonio",Italy,Men,"Sabre, Masters",Summer
1900,Paris,Football,Football,"BUCKENHAM, Claude Percy",United Kingdom,Men,Football,Summer
1900,Paris,Football,Football,"BURRIDGE, T.E.",United Kingdom,Men,Football,Summer
1900,Paris,Football,Football,"CHALK, Alfred Ernest",United Kingdom,Men,Football,Summer
1900,Paris,Football,Football,"GROSLING, William Sullivan",United Kingdom,Men,Football,Summer
1900,Paris,Football,Football,"HASLAM, A.",United Kingdom,Men,Football,Summer
1900,Paris,Football,Football,"JONES, J.H.",United Kingdom,Men,Football,Summer
1900,Paris,Football,Football,"NICHOLAS, J.",United Kingdom,Men,Football,Summer
1900,Paris,Football,Football,"QUASH, William Francis",United Kingdom,Men,Football,Summer
1900,Paris,Football,Football,"SPACKMAN, F.G.",United Kingdom,Men,Football,Summer
1900,Paris,Football,Football,"TURNER, R.R.",United Kingdom,Men,Football,Summer
1900,Paris,Football,Football,"ZEALLEY, James Edward",United Kingdom,Men,Football,Summer
1900,Paris,Golf,Golf,"SANDS, Charles Edward",United States,Men,Individual,Summer
1900,Paris,Golf,Golf,"ABBOTT, Margaret Ives",United States,Women,Individual,Summer
1900,Paris,Gymnastics,Artistic G.,"SANDRAS, Gustave",France,Men,Individual All-Round,Summer
1900,Paris,Polo,Polo,"DALY, Dennis",Mixed Team,Men,Polo,Summer
1900,Paris,Polo,Polo,"KEENE, Foxhall Parker",Mixed Team,Men,Polo,Summer
1900,Paris,Polo,Polo,"MACKEY, Frank Jay",Mixed Team,Men,Polo,Summer
1900,Paris,Polo,Polo,"RAWLINSON, Alfred",Mixed Team,Men,Polo,Summer
1900,Paris,Rowing,Rowing,"ABELL, Louis",United States,Men,Eight With Coxswain (8+),Summer
1900,Paris,Rowing,Rowing,"CARR, William",United States,Men,Eight With Coxswain (8+),Summer
1900,Paris,Rowing,Rowing,"DEBAECKE, Harry",United States,Men,Eight With Coxswain (8+),Summer
1900,Paris,Rowing,Rowing,"EXLEY, John",United States,Men,Eight With Coxswain (8+),Summer
1900,Paris,Rowing,Rowing,"GEIGER, John",United States,Men,Eight With Coxswain (8+),Summer
1900,Paris,Rowing,Rowing,"HEDLEY, Edward",United States,Men,Eight With Coxswain (8+),Summer
1900,Paris,Rowing,Rowing,"JUVENAL, James",United States,Men,Eight With Coxswain (8+),Summer
1900,Paris,Rowing,Rowing,"LOCKWOOD, Roscoe",United States,Men,Eight With Coxswain (8+),Summer
1900,Paris,Rowing,Rowing,"MARSH, Edward",United States,Men,Eight With Coxswain (8+),Summer
1900,Paris,Rowing,Rowing,"BOUCKAERT, Henri",France,Men,Four-Oared Shell With Coxswain (4-),Summer
1900,Paris,Rowing,Rowing,"CAU, Jean",France,Men,Four-Oared Shell With Coxswain (4-),Summer
1900,Paris,Rowing,Rowing,CHARLOT,France,Men,Four-Oared Shell With Coxswain (4-),Summer
1900,Paris,Rowing,Rowing,"DELCHAMBRE, Emile",France,Men,Four-Oared Shell With Coxswain (4-),Summer
1900,Paris,Rowing,Rowing,"GOSSLER, Carl Heinrich",Germany,Men,Four-Oared Shell With Coxswain (4-),Summer
1900,Paris,Rowing,Rowing,"GOSSLER, Gustav Ludwig",Germany,Men,Four-Oared Shell With Coxswain (4-),Summer
1900,Paris,Rowing,Rowing,"GOSSLER, Oscar",Germany,Men,Four-Oared Shell With Coxswain (4-),Summer
1900,Paris,Rowing,Rowing,"HAZEBROUCK, Henri",France,Men,Four-Oared Shell With Coxswain (4-),Summer
1900,Paris,Rowing,Rowing,"KATZENSTEIN, Walther",Germany,Men,Four-Oared Shell With Coxswain (4-),Summer
1900,Paris,Rowing,Rowing,"TIETGENS, Waldemar",Germany,Men,Four-Oared Shell With Coxswain (4-),Summer
1900,Paris,Rowing,Rowing,"BRANDT, Francois Antoine",Mixed Team,Men,Pair-Oared Shell With Coxswain (2+),Summer
1900,Paris,Rowing,Rowing,"BROCKMANN, Hermanus Gerardus",Mixed Team,Men,Pair-Oared Shell With Coxswain (2+),Summer
1900,Paris,Rowing,Rowing,"KLEIN, Roelof",Mixed Team,Men,Pair-Oared Shell With Coxswain (2+),Summer
1900,Paris,Rowing,Rowing,"BARRELET, Henri",France,Men,Single Sculls (1X),Summer
1900,Paris,Rugby,Rugby,"AITOFF, Vladimir",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"ALBERT, A.",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"BINOCHE, Jean, LÃ©on",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"COLLAS, Jean",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"GAUTIER, Jean Guy",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"GIROUX, Auguste",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"GONDOUIN, Charles",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"HENRIQUEZ DE ZUBIERRA, Constantin",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"HERVE, Jean",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"LARDANCHET, Victor",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"LEFEBVRE, Hubert",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"OLIVIER, Joseph",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"PHARAMOND, Alexandre",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"REICHEL, Frantz",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"RISCHMANN, André",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"ROOSEVELT, Albert",France,Men,Rugby,Summer
1900,Paris,Rugby,Rugby,"SARRADE, Emile",France,Men,Rugby,Summer
1900,Paris,Sailing,Sailing,"GRETTON, John H.",United Kingdom,Men,0.5-1T,Summer
1900,Paris,Sailing,Sailing,"HOPE, Linton",United Kingdom,Men,0.5-1T,Summer
1900,Paris,Sailing,Sailing,"LORD CURRIE, Lorne Campbell",United Kingdom,Men,0.5-1T,Summer
1900,Paris,Sailing,Sailing,"BILLARD, Emile",France,Men,10-20T,Summer
1900,Paris,Sailing,Sailing,"PERQUER, P.",France,Men,10-20T,Summer
1900,Paris,Sailing,Sailing,"TAYLOR, Howard",United Kingdom,Men,3-10T,Summer
1900,Paris,Sailing,Sailing,"GRETTON, John H.",United Kingdom,Men,Open Class,Summer
1900,Paris,Sailing,Sailing,"HOPE, Linton",United Kingdom,Men,Open Class,Summer
1900,Paris,Sailing,Sailing,"LORD CURRIE, Lorne Campbell",United Kingdom,Men,Open Class,Summer
1900,Paris,Shooting,Shooting,"LARROUY, Maurice",France,Men,25M Rapid Fire Pistol (60 Shots),Summer
1900,Paris,Shooting,Shooting,"LÜTHI, Friedrich",Switzerland,Men,"50M Army Pistol, Team",Summer
1900,Paris,Shooting,Shooting,"PROBST, Paul",Switzerland,Men,"50M Army Pistol, Team",Summer
1900,Paris,Shooting,Shooting,"RICHARDET, Louis-Marc",Switzerland,Men,"50M Army Pistol, Team",Summer
1900,Paris,Shooting,Shooting,"RÖDERER, Karl Konrad",Switzerland,Men,"50M Army Pistol, Team",Summer
1900,Paris,Shooting,Shooting,"STÄHELI, Konrad",Switzerland,Men,"50M Army Pistol, Team",Summer
1900,Paris,Shooting,Shooting,"RÖDERER, Karl Konrad",Switzerland,Men,50M Pistol (60 Shots),Summer
1900,Paris,Shooting,Shooting,"KELLENBERGER, Emil",Switzerland,Men,"Army Rifle, 300M, 3 Positions",Summer
1900,Paris,Shooting,Shooting,"STÄHELI, Konrad",Switzerland,Men,"Army Rifle, 300M, Kneeling",Summer
1900,Paris,Shooting,Shooting,"PAROCHE, Achille",France,Men,"Army Rifle, 300M, Prone",Summer
1900,Paris,Shooting,Shooting,"MADSEN, Lars Jörgen",Denmark,Men,"Army Rifle, 300M, Standing",Summer
1900,Paris,Shooting,Shooting,"BÖCKLI, Franz",Switzerland,Men,"Free Rifle, Team",Summer
1900,Paris,Shooting,Shooting,"GRÜTER, Alfred",Switzerland,Men,"Free Rifle, Team",Summer
1900,Paris,Shooting,Shooting,"KELLENBERGER, Emil",Switzerland,Men,"Free Rifle, Team",Summer
1900,Paris,Shooting,Shooting,"RICHARDET, Louis-Marc",Switzerland,Men,"Free Rifle, Team",Summer
1900,Paris,Shooting,Shooting,"STÄHELI, Konrad",Switzerland,Men,"Free Rifle, Team",Summer
1900,Paris,Shooting,Shooting,"DE BARBARIN, Roger",France,Men,Trap (125 Targets),Summer
1900,Paris,Tennis,Tennis,"DOHERTY, Hugh Lawrence",United Kingdom,Men,Doubles,Summer
1900,Paris,Tennis,Tennis,"DOHERTY, Reginald Frank",United Kingdom,Men,Doubles,Summer
1900,Paris,Tennis,Tennis,"DOHERTY, Reginald Frank",United Kingdom,Men,Mixed Doubles,Summer
1900,Paris,Tennis,Tennis,"COOPER, Charlotte",United Kingdom,Women,Mixed Doubles,Summer
1900,Paris,Tennis,Tennis,"DOHERTY, Hugh Lawrence",United Kingdom,Men,Singles,Summer
1900,Paris,Tennis,Tennis,"COOPER, Charlotte",United Kingdom,Women,Singles,Summer
1900,Paris,Tug of War,Tug of War,"AABYE, Edgar",Mixed Team,Men,Tug Of War,Summer
1900,Paris,Tug of War,Tug of War,"NILSSON, August",Mixed Team,Men,Tug Of War,Summer
1900,Paris,Tug of War,Tug of War,"SCHMIDT, Eugen",Mixed Team,Men,Tug Of War,Summer
1900,Paris,Tug of War,Tug of War,"SÖDERSTRÖM, Gustaf",Mixed Team,Men,Tug Of War,Summer
1900,Paris,Tug of War,Tug of War,"STAAF, Karl Gustav",Mixed Team,Men,Tug Of War,Summer
1900,Paris,Tug of War,Tug of War,"WINCKLER, Charles",Mixed Team,Men,Tug Of War,Summer
1904,St Louis,Aquatics,Diving,"SHELDON, George",United States,Men,10M Platform,Summer
1904,St Louis,Aquatics,Diving,"DICKEY, William Paul",United States,Men,Plunge For Distance,Summer
1904,St Louis,Aquatics,Swimming,"BRACK, Walter",Germany,Men,100M Backstroke,Summer
1904,St Louis,Aquatics,Swimming,"HALMAY, Zoltan",Hungary,Men,100M Freestyle,Summer
1904,St Louis,Aquatics,Swimming,"RAUSCH, Emil",Germany,Men,1500M Freestyle,Summer
1904,St Louis,Aquatics,Swimming,"DANIELS, Charles",United States,Men,200M Freestyle,Summer
1904,St Louis,Aquatics,Swimming,"ZACHARIAS, Georg",Germany,Men,400M Breaststroke,Summer
1904,St Louis,Aquatics,Swimming,"DANIELS, Charles",United States,Men,400M Freestyle,Summer
1904,St Louis,Aquatics,Swimming,"DANIELS, Charles",United States,Men,4X50Y Freestyle Relay,Summer
1904,St Louis,Aquatics,Swimming,"GOODWIN, Leo Budd",United States,Men,4X50Y Freestyle Relay,Summer
1904,St Louis,Aquatics,Swimming,"HANDLEY, Louis De Breda",United States,Men,4X50Y Freestyle Relay,Summer
1904,St Louis,Aquatics,Swimming,"RUDDY, Joseph A.",United States,Men,4X50Y Freestyle Relay,Summer
1904,St Louis,Aquatics,Swimming,"HALMAY, Zoltan",Hungary,Men,50Y Freestyle (45.72M),Summer
1904,St Louis,Aquatics,Swimming,"RAUSCH, Emil",Germany,Men,880Y Freestyle (804.66M),Summer
1904,St Louis,Archery,Archery,"BRYANT, George Philipp",United States,Men,Double American Round (60Y - 50Y - 40Y),Summer
1904,St Louis,Archery,Archery,"HOWELL, Matilda Scott",United States,Women,Double Columbia Round (50Y - 40Y - 30Y),Summer
1904,St Louis,Archery,Archery,"HOWELL, Matilda Scott",United States,Women,Double National Round (60Y - 50Y),Summer
1904,St Louis,Archery,Archery,"BRYANT, George Philipp",United States,Men,Double York Round (100Y - 80Y - 60Y),Summer
1904,St Louis,Archery,Archery,"MAXSON, Louis W.",United States,Men,Team Round 60Y,Summer
1904,St Louis,Archery,Archery,"SPENCER, Galen Carter",United States,Men,Team Round 60Y,Summer
1904,St Louis,Archery,Archery,"THOMPSON, William Henry",United States,Men,Team Round 60Y,Summer
1904,St Louis,Archery,Archery,"WILLIAMS, Robert",United States,Men,Team Round 60Y,Summer
1904,St Louis,Archery,Archery,"HOWELL, Matilda Scott",United States,Women,Teams Fita Round,Summer
1904,St Louis,Archery,Archery,"POLLOCK, Jessie",United States,Women,Teams Fita Round,Summer
1904,St Louis,Archery,Archery,"TAYLOR, Louise",United States,Women,Teams Fita Round,Summer
1904,St Louis,Archery,Archery,"WOODRUFF, Laura",United States,Women,Teams Fita Round,Summer
1904,St Louis,Athletics,Athletics,"HAHN, Archie",United States,Men,100M,Summer
1904,St Louis,Athletics,Athletics,"SCHULE, Frederick",United States,Men,110M Hurdles,Summer
1904,St Louis,Athletics,Athletics,"LIGHTBODY, James",United States,Men,1500M,Summer
1904,St Louis,Athletics,Athletics,"HAHN, Archie",United States,Men,200M,Summer
1904,St Louis,Athletics,Athletics,"HILLMAN, Harry",United States,Men,200M Hurdles,Summer
1904,St Louis,Athletics,Athletics,"LIGHTBODY, James",United States,Men,3000M Steeplechase,Summer
